ds,procedentes_pessimista,procedentes_base,procedentes_otimista,clientes,indice_pessimista,indice_base,indice_otimista,trimestre
2025-12-31,1113.1999999999998,758.0,403.09999999999997,71651513.43969125,15.536308258680052,10.578981009773159,5.625840692664327,2025Q4
2026-01-31,848.08,587.6,327.34000000000003,72547157.35768738,11.690051421568679,8.09955925775134,4.512099604207494,2026Q1
2026-02-28,715.52,502.4,289.46,73453996.82465847,9.741062854728149,6.839655045582823,3.940697749789817,2026Q1
2026-03-31,582.96,417.20000000000005,251.58,74372171.7849667,7.838415713951724,5.609625078668621,3.382716867908561,2026Q1
2026-04-30,450.40000000000003,332.0,213.7,75301823.93227877,5.981262823129736,4.40892375061961,2.8379126671909956,2026Q2
2026-05-31,317.84000000000003,246.8,175.82,76243096.73143226,4.16877086091607,3.2370143735026615,2.3060448425820015,2026Q2
2026-06-30,119.0,119.0,119.0,77196135.44057515,1.5415279446418022,1.5415279446418022,1.5415279446418022,2026Q2
2026-07-31,119.0,119.0,119.0,78161087.13358234,1.5224967354486936,1.5224967354486936,1.5224967354486936,2026Q3
2026-08-31,119.0,119.0,119.0,79138100.72275212,1.5037004794554998,1.5037004794554998,1.5037004794554998,2026Q3
2026-09-30,119.0,119.0,119.0,80127326.98178652,1.4851362760054319,1.4851362760054319,1.4851362760054319,2026Q3
2026-10-31,119.0,119.0,119.0,81128918.56905885,1.4668012602522786,1.4668012602522786,1.4668012602522786,2026Q4
2026-11-30,119.0,119.0,119.0,82143030.0511721,1.4486926027182996,1.4486926027182996,1.4486926027182996,2026Q4
2026-12-31,119.0,119.0,119.0,83169817.92681172,1.4308075088575802,1.4308075088575802,1.4308075088575802,2026Q4
2027-01-31,119.0,119.0,119.0,84209440.65089688,1.4131432186247703,1.4131432186247703,1.4131432186247703,2027Q1
2027-02-28,119.0,119.0,119.0,85262058.65903307,1.3956970060491563,1.3956970060491563,1.3956970060491563,2027Q1
2027-03-31,119.0,119.0,119.0,86327834.39227098,1.3784661788139816,1.3784661788139816,1.3784661788139816,2027Q1
2027-04-30,119.0,119.0,119.0,87406932.32217437,1.3614480778409694,1.3614480778409694,1.3614480778409694,2027Q2
2027-05-31,119.0,119.0,119.0,88499518.97620155,1.3446400768799698,1.3446400768799698,1.3446400768799698,2027Q2
2027-06-30,119.0,119.0,119.0,89605762.96340406,1.3280395821036741,1.3280395821036741,1.3280395821036741,2027Q2
