id,INCOMING_DTTM,score_risco,abriu_rdr_48h
3134,2025-09-01,97.6,1
4272,2025-09-01,11.0,0
5234,2025-09-01,22.0,0
5199,2025-09-01,36.7,0
3836,2025-09-01,19.9,0
3847,2025-09-01,17.7,0
928,2025-09-01,97.2,1
928,2025-09-01,41.3,1
3570,2025-09-01,17.9,0
4208,2025-09-01,29.0,0
3131,2025-09-01,18.8,0
2685,2025-09-01,30.5,1
3022,2025-09-01,22.7,0
496,2025-09-01,22.0,0
3539,2025-09-01,13.0,0
2416,2025-09-01,16.1,0
680,2025-09-01,32.2,1
4938,2025-09-01,22.8,1
4777,2025-09-01,30.0,0
58,2025-09-01,29.0,0
3184,2025-09-01,5.9,0
1599,2025-09-01,97.6,1
3447,2025-09-01,98.0,1
163,2025-09-01,4.8,0
4881,2025-09-01,21.5,1
4881,2025-09-01,18.3,1
3650,2025-09-01,97.8,1
4704,2025-09-01,30.0,0
3022,2025-09-01,22.6,0
3755,2025-09-01,7.6,0
5112,2025-09-01,11.4,0
3742,2025-09-01,20.1,0
5228,2025-09-01,18.4,0
2011,2025-09-01,97.8,1
2603,2025-09-01,97.6,1
2011,2025-09-01,55.4,1
5192,2025-09-01,32.8,0
4398,2025-09-01,47.6,0
3698,2025-09-01,97.3,1
1599,2025-09-01,48.2,1
2995,2025-09-01,31.1,0
2569,2025-09-01,2.7,0
2987,2025-09-01,22.8,0
2987,2025-09-01,24.5,0
979,2025-09-01,97.6,1
3676,2025-09-01,17.4,1
3676,2025-09-01,9.8,1
1060,2025-09-01,95.9,1
536,2025-09-01,26.7,0
24,2025-09-01,5.4,0
4704,2025-09-01,23.5,0
1062,2025-09-01,97.5,1
1056,2025-09-01,11.4,0
4859,2025-09-01,11.5,0
3022,2025-09-01,22.9,0
266,2025-09-01,36.5,0
4668,2025-09-01,20.6,0
809,2025-09-01,24.0,0
2724,2025-09-01,29.3,0
773,2025-09-01,97.6,1
4081,2025-09-01,16.4,0
4833,2025-09-01,97.4,1
5321,2025-09-01,37.5,0
4029,2025-09-01,97.3,1
2217,2025-09-01,20.3,0
1889,2025-09-01,97.6,1
1304,2025-09-01,97.5,1
156,2025-09-01,97.5,1
4656,2025-09-01,55.4,0
5321,2025-09-01,38.4,0
